,Job Title,Salary Estimate,Location
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"New York, NY"
1,Quality Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),"New York, NY"
3,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
4,Reporting Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
5,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
6,Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),"New York, NY"
7,Data Science Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
8,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
9,"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),"New York, NY"
10,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
11,Data Analyst,$37K-$66K (Glassdoor est.),"Fairfield, NJ"
12,DATA ANALYST,$37K-$66K (Glassdoor est.),"New York, NY"
13,Senior Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),"Jersey City, NJ"
15,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
16,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
17,Clinical Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
18,DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),"New York, NY"
19,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
20,"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),"New York, NY"
21,Data Science Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
22,Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),"New York, NY"
23,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
24,Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
25,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
27,"Data Analyst, Product",$37K-$66K (Glassdoor est.),"New York, NY"
28,Data Analyst Entry Level,$37K-$66K (Glassdoor est.),"New York, NY"
29,Data Analyst,$37K-$66K (Glassdoor est.),"New York, NY"
30,Data Analyst,$46K-$87K (Glassdoor est.),"Brooklyn, NY"
31,Data Analyst,$46K-$87K (Glassdoor est.),"Jersey City, NJ"
32,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
33,"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),"New York, NY"
34,Data Analyst (Games),$46K-$87K (Glassdoor est.),"New York, NY"
35,Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
36,Data Business Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),"New York, NY"
38,Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),"New York, NY"
39,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
40,"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),"New York, NY"
41,Behavioral Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
42,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
43,Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),"New York, NY"
44,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
45,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
46,Advertising Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
47,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
48,Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
49,"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),"New York, NY"
50,"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),"New York, NY"
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),"New York, NY"
52,Business Data Analyst,$46K-$87K (Glassdoor est.),"Jersey City, NJ"
53,Senior Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
54,Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),"Weehawken, NJ"
55,Data Reporting Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
56,"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),"New York, NY"
57,Data Analyst II,$46K-$87K (Glassdoor est.),"New York, NY"
58,"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),"New York, NY"
59,Data Analyst,$46K-$87K (Glassdoor est.),"New York, NY"
60,"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),"New York, NY"
61,Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),"New York, NY"
62,Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),"New York, NY"
63,Data Analyst - Stitching,$51K-$88K (Glassdoor est.),"New York, NY"
64,Junior Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
65,"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),"New York, NY"
66,Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
67,Portfolio Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
68,Data Science Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
69,Data/Reporting Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
70,Data Analyst 2,$51K-$88K (Glassdoor est.),"New York, NY"
71,Entry Level Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
72,Marketing Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
73,Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
74,Business Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
75,Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),"New York, NY"
76,Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
77,Data Analyst,$51K-$88K (Glassdoor est.),"Jersey City, NJ"
